prompt,response
"The molecule is an indole alkaloid cation that is the conjugate acid of (3R)-1,2-didehydro-3-hydroxy-2,3-dihydrotabersonine, obtained by protonation of the tertiary amino group. Major species at pH 7.3. It is a conjugate acid of a (3R)-1,2-didehydro-3-hydroxy-2,3-dihydrotabersonine.",[C][C][C@][C][=C][C][N][C][C][C@][Branch2][Ring1][#C][C][=Branch1][N][=NH1+1][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][C@@][Branch1][C][O][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][Ring2][Ring1][#Branch1][C@@H1][Ring2][Ring1][Ring2][Ring2][Ring1][Branch2]
The molecule is an N-(2-naphthyl)carboxamide obtained by formal condensation of the carboxy group of glycyl-L-phenylalanine with the amino group of 2-naphthylamine. It has a role as a chromogenic compound. It is a N-(2-naphthyl)carboxamide and a dipeptide.,[N][C][C][Branch1][C][O][=N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=N][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]
"The molecule is a dicarboxylic acid diamide obtained by condensation of the 3- and 4'-carboxy groups of 6-methyl[1,1'-biphenyl]-3,4'-dicarboxylic acid with cyclpropylamine and cyclpropylmethylamine respectively. It has a role as an EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor. It is a member of biphenyls, a dicarboxylic acid diamide, a member of benzamides and a member of cyclopropanes.",[C][C][=C][C][=C][Branch1][O][C][Branch1][C][O][=N][C][C][C][Ring1][Ring1][C][=C][Ring1][N][C][=C][C][=C][Branch1][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Ring1][C][=C][Ring1][=N]
The molecule is a branched amino trisaccharide consisting of D-galactose having an alpha-L-fucosyl residue at the 2-position and an N-acetyl-alpha-D-galactosaminyl residue at the 3-position. It is a galactosamine oligosaccharide and an amino trisaccharide.,[C][C][Branch1][C][O][=N][C@H1][C@@H1][Branch2][Ring2][#Branch1][O][C@H1][C@@H1][Branch1][C][O][C@@H1][Branch1][Ring1][C][O][O][C][Branch1][C][O][C@@H1][Ring1][#Branch2][O][C@@H1][O][C@@H1][Branch1][C][C][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Ring1][=Branch2][O][O][C@H1][Branch1][Ring1][C][O][C@H1][Branch1][C][O][C@@H1][Ring2][Ring1][#C][O]
"The molecule is a chromenol that is 2,2-dimethyl-2H-chromen-5-ol substituted by a 6-hydroxy-1-benzofuran-2-yl group at position 6. It has a role as a plant metabolite. It is a member of 1-benzofurans and a chromenol.",[C][C][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][C][Branch1][P][C][=C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][Ring1][#Branch2][=C][Ring1][S][O][O][Ring2][Ring1][=Branch1]
"The molecule is an oxime O-ether consisting of progesterone having an O-(carboxymethyl)oxime group at the 3-position and a hydroxy group at the 17alpha-position. It is a monocarboxylic acid, a 20-oxo steroid, an oxime O-ether, a 17alpha-hydroxy steroid and a tertiary alpha-hydroxy ketone. It derives from a progesterone 3-O-(carboxymethyl)oxime.",[C][C][=Branch1][C][=O][C@@][Branch1][C][O][C][C][C@H1][C@@H1][C][C][C][=C][/C][=Branch1][=Branch2][=N][/O][C][C][=Branch1][C][=O][O][C][C][C@][Ring1][N][Branch1][C][C][C@H1][Ring1][P][C][C][C@@][Ring2][Ring1][Branch1][Ring2][Ring1][=Branch2][C]
The molecule is an indole alkaloid having the structure of aspirospermidine methoxylated at C-17 and acetylated at N-1. It derives from a hydride of an aspidospermidine.,[C][C][C@@][C][C][C][N][C][C][C@][Branch2][Ring1][=N][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2][N][Branch1][=Branch1][C][Branch1][C][C][=O][C@@H1][Ring1][=C][C][C][Ring2][Ring1][#Branch1][C@H1][Ring2][Ring1][Ring2][Ring2][Ring1][Branch2]
"The molecule is a carbamate ester of thymidine in which the 5'-hydroxy group has been esterified with [3-(benzoyloxy)-3-oxopropyl]carbamic acid, It derives from a thymidine.",[C][C][=C][N][Branch2][Ring2][=Branch2][C@H1][C][C@H1][Branch1][C][O][C@@H1][Branch2][Ring1][O][C][O][C][Branch1][C][O][=N][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring2][Ring1][Branch2][C][=Branch1][C][=O][N][=C][Ring2][Ring1][#C][O]
"The molecule is an N-acylglycine resulting from the formal condensation of the amino group of glycine with the carboxy group of 4-hydroxy-1-methyl-7-phenoxyisoquinoline-3-carboxylic acid. It is an inhibitor of hypoxia inducible factor prolyl hydroxylase (HIF-PH). It has a role as an EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor and an EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor. It is a member of isoquinolines, an aromatic ether and a N-acylglycine.",[C][C][=N][C][Branch1][N][C][=Branch1][C][=O][N][C][C][=Branch1][C][=O][O][=C][Branch1][C][O][C][=C][C][=C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][=Branch2][Ring1][=N]
"The molecule is 5,6beta-epoxy-5beta-cholestan-3beta-ol It is a 3beta-hydroxy steroid, an oxysterol and an epoxy steroid. It derives from a hydride of a 5beta-cholestane.",[C][C][Branch1][C][C][C][C][C][C@@H1][Branch1][C][C][C@H1][C][C][C@H1][C@@H1][C][C@H1][O][C@][Ring1][Ring1][C][C@@H1][Branch1][C][O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C][C][C@][Ring2][Ring1][Ring2][Ring1][P][C]
The molecule is an all-trans-retinyl ester obtained by formal condensation of the carboxy group of dodecanoic (lauric) acid with the hydroxy group of all-trans-retinol. It has a role as a human xenobiotic metabolite and a rat metabolite. It is an all-trans-retinyl ester and a dodecanoic acid.,[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][/C][=C][Branch1][C][C][/C][=C][/C][=C][Branch1][C][C][/C][=C][/C][=C][Branch1][C][C][C][C][C][C][Ring1][#Branch1][Branch1][C][C][C]
"The molecule is a tetrahydroxyindolizidine alkaloid that consists of octahydroindolizine having four hydroxy substituents located at positions 1, 6, 7 and 8 (the 1S,6S,7R,8R,8aR-diastereomer). It has a role as a metabolite, an anti-HIV-1 agent, an anti-inflammatory agent and an EC 3.2.1.* (glycosidase) inhibitor.",[O][C@H1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C][N][C][C][C@H1][Branch1][C][O][C@H1][Ring1][N][Ring1][=Branch1]
The molecule is a epsilon-lactone that is oxepan-2-one substituted by an isoprenyl group at position 4 and a methyl group at position 7. It derives from a hydride of an oxepane.,[C][=C][Branch1][C][C][C][C][C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][Ring1][=Branch2]
The molecule is a labdane diterpenoid in which the labdane skeleton has double bonds at positions 8(17) and 14 and carries an S-hydroxy group at position 13. It has a role as a metabolite. It is a tertiary alcohol and a labdane diterpenoid.,[C][=C][C@@][Branch1][C][C][Branch1][C][O][C][C][C@@H1][C][=Branch1][C][=C][C][C][C@@H1][C][Branch1][C][C][Branch1][C][C][C][C][C][C@@][Ring1][=N][Ring1][Branch2][C]
The molecule is an beta-D-glucoside in which the anomeric hydrogen of beta-D-glucopyranose is substituted by an octyl group. It has a role as a plant metabolite.,[C][C][C][C][C][C][C][C][O][C@@H1][O][C@H1][Branch1][Ring1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Ring1][#Branch2][O]
The molecule is a monothiocarbamic ester that is phenyl methanesulfonate in which the hydrogen at position 4 is replaced by a (methylcarbamoyl)sulfanediyl group. It is a fungicide used for the treatment of a range of fungal diseases in rice. It is a monothiocarbamic ester and a methanesulfonate ester.,[C][N][=C][Branch1][C][O][S][C][=C][C][=C][Branch1][#Branch2][O][S][Branch1][C][C][=Branch1][C][=O][=O][C][=C][Ring1][O]
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",[N][C@@H1][Branch2][Ring2][O][C][C][=C][C][Branch1][C][I][=C][Branch2][Ring1][Branch2][O][C][=C][C][=C][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C][Branch1][C][I][=C][Ring1][N][C][Branch1][C][I][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O]
"The molecule is a carbamate ester that is the N-[1-(isobutyryloxy)ethoxy]carbonyl derivative of [1-(aminomethyl)cyclohexyl]acetic acid. The prodrug for gabapentin, used for treatment of neuropathic pain and restless legs syndrome. It has a role as a prodrug, an anticonvulsant and a calcium channel blocker. It is a monocarboxylic acid, a carbamate ester, a carboxylic ester and an acetal. It derives from a gamma-aminobutyric acid and a gabapentin.",[C][C][Branch1][O][O][C][=Branch1][C][=O][C][Branch1][C][C][C][O][C][Branch1][C][O][=N][C][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][C][C][C][C][Ring1][#Branch2]
"The molecule is a sesquiterpenoid that is benzoic acid substituted by a hydroxy group at position 3 and a (2S)-2-hydroxy-6-methylheptan-2-yl group at position 4. It has been isolated from the sea fan derived fungus Aspergillus sydowii. It has a role as an Aspergillus metabolite. It is a sesquiterpenoid, a monohydroxybenzoic acid and an aromatic alcohol.",[C][C][Branch1][C][C][C][C][C][C@][Branch1][C][C][Branch1][C][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][=Branch2][O]
"The molecule is the (S)-enantiomer of the racemic drug proglumide. It is a N(2)-benzoyl-N,N-dipropyl-alpha-glutamine and a L-glutamic acid derivative. It is an enantiomer of a (R)-proglumide.",[C][C][C][N][Branch1][Ring2][C][C][C][C][=Branch1][C][=O][C@H1][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][N][=C][Branch1][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1]
The molecule is an ortho- and peri-fused polycyclic arene that consists of a benzene ring fused with a acephenanthrylene ring. It has a role as a mutagen.,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2]
"The molecule is an organic cation that is phenothiazin-5-ium substituted by methyl, amino and dimethylamino groups at positions 2, 3 and 7 respectively. The chloride salt is used as a histological dye.",[C][C][=C][C][=N][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][Ring1][=Branch2][S][C][Ring1][=N][=C][C][Ring1][P][=NH2+1]
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,[C][NH1+1][C][C][C][=Branch2][Ring1][Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][S][C][=C][C][=Ring1][Branch1][Ring1][#C][C][C][Ring2][Ring1][Branch1]
"The molecule is a member of the class of hydroxyindoles resulting from the formal oxidative coupling between the 3-position of 1,3-dihydro-2H-indol-2-one and the 3-position of 1,3-dihydro-2H-pyrrol-2-one, which is substituted at the 5 position by a 5-hydroxy-1H-indol-3-yl group, where the newly-formed double bond has E configuration. It is a purple chromobacterial pigment that has antibacterial, antifungal, antiprotozoan, and anticancer properties. It has a role as a bacterial metabolite, an antineoplastic agent, an apoptosis inducer, an antibacterial agent and an antifungal agent. It is a member of hydroxyindoles, a member of pyrroles, a member of oxindoles and an olefinic compound. It derives from a proviolacein.",[O][=C][N][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][=Branch2][C][C][=C][Branch1][P][C][=C][NH1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch2][Ring1][#Branch1][NH1][C][=Ring1][#C][O]
"The molecule is a member of the class of benzofurans that is 1-benzofuran substituted by a 3-hydroxypropyl group at position 5 and a 4-hydroxy-2-methoxyphenyl group at position 2. It is a lignan derivative isolated from the roots of Krameria lappacea. It has a role as a plant metabolite, a NF-kappaB inhibitor, a cyclooxygenase 1 inhibitor, a cyclooxygenase 2 inhibitor and an anti-inflammatory agent. It is a member of benzofurans, a member of phenols, a monomethoxybenzene and a primary alcohol.",[C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][=C][C][=C][C][Branch1][Branch1][C][C][C][O][=C][C][=C][Ring1][#Branch2][O][Ring1][=N]
The molecule is a 7-oxo monocarboxylic acid anion. It derives from a nonanoate. It is a conjugate base of an 8-amino-7-oxononanoic acid.,[C][C][Branch1][C][N][C][=Branch1][C][=O][C][C][C][C][C][C][=Branch1][C][=O][O-1]
The molecule is trianion of (R)-5-phosphopantoic acid arising from deprotonation of the carboxy and phosphate OH groups; major species at pH 7.3 It is a hydroxy monocarboxylic acid anion and an organophosphate oxoanion. It is a conjugate base of a (R)-4-phosphopantoic acid.,[C][C][Branch1][C][C][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@@H1][Branch1][C][O][C][=Branch1][C][=O][O-1]
"The molecule is a 1,1-bis(phosphonic acid) that is methanebis(phosphonic acid) in which the two methylene hydrogens are replaced by hydroxy and 3-aminopropyl groups. It has a role as an EC 2.5.1.1 (dimethylallyltranstransferase) inhibitor and a bone density conservation agent. It is a 1,1-bis(phosphonic acid) and a primary amino compound. It is a conjugate acid of an alendronate(1-).",[N][C][C][C][C][Branch1][C][O][Branch1][=Branch2][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O]
The molecule is an aspartic acid derivative having a 3-methyl substituent. It is a non-proteinogenic L-alpha-amino acid and an amino dicarboxylic acid. It is a conjugate acid of a threo-3-methyl-L-aspartate(1-).,[C][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][C@H1][Branch1][C][N][C][=Branch1][C][=O][O]
The molecule is a 4-hydroxy-2-oxoheptanedioate obtained by deprotonation of both carboxy groups of (S)-4-hydroxy-2-oxoheptanedioic acid; major species at pH 7.3. It is a conjugate base of a (S)-4-hydroxy-2-oxoheptanedioic acid.,[O][=C][Branch1][C][O-1][C][C][C@H1][Branch1][C][O][C][C][=Branch1][C][=O][C][=Branch1][C][=O][O-1]
