prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
"The molecule is a 3-{2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl}-2-methyl-4-oxo-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-9-yl hexadecanoate that is the (S)-enantiomer of paliperidone palmitate. It is an enantiomer of a (R)-paliperidone palmitate.",CCCCCCCCCCCCCCCC(=O)O[C@H]1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,5,5,3+,3+,3+r/3+b (hardest),0.2083
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,4,3,3+,3+,3+r/3+b (hardest),0.1358
"The molecule is a hydroxycoumarin that is 2H,8H-benzo[1,2-b:5,4-b']dipyran-2-one substituted by a hydroxy group at position 4, a methoxy group at position 5, 4-methoxyphenyl group at position 3 and two methyl groups at position 8 respectively. It has a role as a plant metabolite and an antiprotozoal drug. It is a hydroxycoumarin and a monomethoxybenzene.",COc1ccc(-c2c(O)c3c(OC)c4c(c(CC=C(C)C)c3oc2=O)OC(C)(C)C=C4)cc1,4,8,3+,3+,3+r/3+b (hardest),0.1458
"The molecule is an anilide resulting from the formal condensation of the aryl amino group of 4-(methoxymethyl)-N-phenyl-1-[2-(2-thienyl)ethyl]piperidin-4-amine with propanoic acid. It has a role as an opioid analgesic, a mu-opioid receptor agonist, an anaesthesia adjuvant and an intravenous anaesthetic. It is a member of piperidines, a member of thiophenes, an anilide and an ether.",CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,3,4,3+,3+,3+r/3+b (hardest),0.1081
"The molecule is an organic heteropentacyclic compound that is 6H-furo[3,2-c]xanthen-6-one substituted by hydroxy groups at positions 7 and 10 and a 2-methylbut-3-en-2-yl group at position 8. Isolated from the woods of Garcinia subelliptica, it exhibits antioxidant activity. It has a role as a metabolite and an antioxidant. It is a cyclic ether, a cyclic ketone, an organic heterotetracyclic compound and a polyphenol.",C=CC(C)(C)c1cc(O)c2oc3c(ccc4ccoc43)c(=O)c2c1O,4,5,3+,3+,3+r/3+b (hardest),0.122
"The molecule is an amino trisaccharide consisting of alpha-L-fucopyranose, 2-acetamido-2-deoxy-beta-D-glucopyranose and 2-acetamido-2-deoxy-D-galactopyranose residues joined in sequence by (1->3) and (1->6) glycosidic bonds. It is an amino trisaccharide, a member of acetamides and a glucosamine oligosaccharide. It derives from a beta-D-GlcpNAc-(1->6)-D-GalpNAc and an alpha-L-Fucp-(1->3)-beta-D-GlcpNAc.",CC(O)=N[C@H]1[C@H](OC[C@H]2OC(O)[C@H](N=C(C)O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O,3,11,3+,3+,3+r/3+b (hardest),0.3247
"The molecule is an organosulfonate oxoanion resulting from the removal of a proton from both of the sulfo groups of 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid. It is a conjugate base of a 7-hydroxy-8-[(naphthalen-1-yl)diazenyl]naphthalene-1,3-disulfonic acid.",O=S(=O)([O-])c1cc(S(=O)(=O)O)c2c(N=Nc3cccc4ccccc34)c([O-])ccc2c1,4,7,3+,3+,3+r/3+b (hardest),0.1341
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,3,5,3+,3+,3+r/3+b (hardest),0.1412
"The molecule is a 4'-methoxyisoflavone that is formononetin attached to a beta-D-glucopyranosyl moiety at position 7 via a glycosidic linkage. It has a role as a plant metabolite. It is a monosaccharide derivative, a member of 4'-methoxyisoflavones and a 7-hydroxyisoflavones 7-O-beta-D-glucoside. It derives from a formononetin.",COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1,4,5,3+,3+,3+r/3+b (hardest),0.3452
"The molecule is a steroid glucosiduronic acid that is 2-hydroxy-17beta-estradiol having a single beta-D-glucuronic acid residue attached at position 2. It is a beta-D-glucosiduronic acid, a 17beta-hydroxy steroid, a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 2-hydroxy-17beta-estradiol. It is a conjugate acid of a 2-hydroxy-17beta-estradiol 2-O-(beta-D-glucuronide)(1-).",C[C@]12CC[C@@H]3c4cc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,5,6,3+,3+,3+r/3+b (hardest),0.1442
The molecule is a galactoglycerolipid that consists of 3-(3-O-sulfo-beta-D-galactosyl)-sn-glycerol in which the glycerol portion is alkylated at position 1 by a pentyl group.,CCCCCOC[C@@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)O)[C@H]1O,1,6,1-2,3+,1-2r/3+b,0.3485
"The molecule is a myo-inositol hexakisphosphate in which each hydroxy group of myo-inositol is monophosphorylated. It has a role as an iron chelator, an antineoplastic agent, a signalling molecule, an Escherichia coli metabolite, a mouse metabolite and a cofactor. It is a conjugate acid of a myo-inositol hexakisphosphate(12-).",O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,1,16,1-2,3+,1-2r/3+b,0.1458
"The molecule is an organophosphate oxoanion obtained by deprotonation of the carboxy and phosphate OH groups of pyridinium-3,5-bisthiocarboxylic acid mononucleotide; major species at pH 7.3. It is an organophosphate oxoanion and an organic sulfur anion. It is a conjugate base of a pyridinium-3,5-bisthiocarboxylic acid mononucleotide.",O=C([S-])c1cc(C(=O)[S-])c[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1,2,8,1-2,3+,1-2r/3+b,0.3433
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the glutamyl amino group of S-(2,4-dinitrophenyl)glutathione. Major microspecies at pH 7.3. It derives from a glutathionate(1-). It is a conjugate base of a S-(2,4-dinitrophenyl)glutathione.",N[C@@H](CCC([O-])=N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(O)=NCC(=O)O)C(=O)O,1,9,1-2,3+,1-2r/3+b,0.2556
The molecule is a cyclitol phosphate that is validamine carrying a single monophosphate substituent at position 7. It is an amino cyclitol and a cyclitol phosphate. It derives from a validamine. It is a conjugate acid of a validamine 7-phosphate(1-).,N[C@H]1C[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,1,5,1-2,3+,1-2r/3+b,0.25
"The molecule is a member of the class of dioxolanes that is 1,3-dioxolane substituted at position 2 by a 4-bromo-6,6,6-trichloro-2-methyl-2-hexanyl group. It is a dioxolane, a cyclic acetal, an organobromine compound and an organochlorine compound. It derives from a hydride of a 1,3-dioxolane.",CC(C)(CC(Br)CC(Cl)(Cl)Cl)C1OCCO1,1,5,1-2,3+,1-2r/3+b,0.1091
"The molecule is a secondary carboxamide resulting from the formal condensation of the amino group of (1R,2R)-2-amino-1-(4-aminophenyl)propane-1,3-diol with the carboxy group of dichloroacetic acid. It is an intermediate used in the biosynthesis pathway of the antibiotic, chloramphenicol. It has a role as a prodrug. It is a secondary carboxamide, a diol, a substituted aniline and an organochlorine compound.",Nc1ccc([C@@H](O)[C@@H](CO)N=C(O)C(Cl)Cl)cc1,1,5,1-2,3+,1-2r/3+b,0.1053
The molecule is a beta-D-glucoside that is the 2-aminoethyl glycoside of a disaccharide consisting of beta-D-glucuronosyl and beta-D-glucosyl residues linked (1->4). It is a beta-D-glucoside and a disaccharide derivative.,NCCO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,2,7,1-2,3+,1-2r/3+b,0.2785
The molecule is an organic cation obtained by protonation of the secondary amino function of levobunolol. It is an ammonium ion derivative and an organic cation. It is a conjugate base of a levobunolol.,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2c1CCCC2=O,2,3,1-2,3+,1-2r/3+b,0.1687
"The molecule is a monocarboxylic acid that is oxoacetic acid substituted by a (ethoxymethyl)(2-ethyl-6-methylphenyl)amino group at position 2. It is a metabolite of acetochlor. It has a role as a marine xenobiotic metabolite. It is an aromatic amide, an ether and a monocarboxylic acid.",CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC,1,4,1-2,3+,1-2r/3+b,0.2143
"The molecule is a member of the class of benzimidazoles that is 1H-benzimidazole which is substituted at positons 2 and 5 by (methoxycarbonyl)amino and phenylsulfanediyl groups, respectively. A broad-spectrum anthelmintic, it is used, particularly in veterinary medicine, for the treatment of nematodal infections. It has a role as an antinematodal drug. It is a member of benzimidazoles, a carbamate ester and an aryl sulfide.",COC(O)=Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,3,2,3+,1-2,3+r/1-2b,0.1974
"The molecule is a sesquiterpene that is cedrane which has a double bond between positions 8 and 9. It has a role as a metabolite. It is a sesquiterpene, a bridged compound and a polycyclic olefin. It derives from a hydride of a cedrane.",CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,3,2,3+,1-2,3+r/1-2b,0.1429
The molecule is an ortho- and peri-fused polycyclic arene consisting of five fused benzene rings. It is listed as a Group 3 carcinogen by the IARC. It has a role as a mutagen and a carcinogenic agent.,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,5,1,3+,1-2,3+r/1-2b,0.225
"The molecule is a purine 2'-deoxyribonucleoside that is inosine in which the hydroxy group at position 2' is replaced by a hydrogen. It has a role as a Saccharomyces cerevisiae metabolite, a human metabolite, a plant metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a purines 2'-deoxy-D-ribonucleoside and a purine 2'-deoxyribonucleoside. It derives from an inosine.",OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O,3,2,3+,1-2,3+r/1-2b,0.1846
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,4,2,3+,1-2,3+r/1-2b,0.1333
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,NCCCC[C@H](N=C(O)CCN)C(=O)O,0,3,0,3+,0r/3+b (CONTROL),0.2857
"The molecule is a tripeptide composed of L-aspartic acid, L-glutamine and L-arginine joined in sequence by peptide linkages. It has a role as a metabolite. It derives from a L-aspartic acid, a L-glutamine and a L-arginine.",N=C(O)CC[C@H](N=C(O)[C@@H](N)CC(=O)O)C(O)=N[C@@H](CCCNC(=N)N)C(=O)O,0,9,0,3+,0r/3+b (CONTROL),0.3088
"The molecule is the (R)-enantiomer of 2,6-dimethylheptyl sulfate. It has been isolated from Daphnia pulex. It is a conjugate base of a (2R)-2,6-dimethylheptyl hydrogen sulfate. It is an enantiomer of a (2S)-2,6-dimethylheptyl sulfate.",CC(C)CCC[C@@H](C)COS(=O)(=O)[O-],0,4,0,3+,0r/3+b (CONTROL),0.2821
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",O=C(O)[C@H](O)[C@@H](O)CO,0,3,0,3+,0r/3+b (CONTROL),0.1667
"The molecule is an S-substituted glutathione that is glutathione in which the mercapto hydrogen has been replaced by a chloromethyl group. It has a role as an alkylating agent, a bacterial xenobiotic metabolite and a mouse metabolite. It is an organochlorine compound and a S-substituted glutathione. It is a conjugate acid of a S-(chloromethyl)glutathione(1-).",N[C@@H](CCC(O)=N[C@@H](CSCCl)C(O)=NCC(=O)O)C(=O)O,0,6,0,3+,0r/3+b (CONTROL),0.2676
