prompt,gt_smiles,ring_count,gt_branches,ring_bin,branch_bin,stratum,morgan_sim
The molecule is a branched amino trisaccharide consisting of D-galactose having an alpha-L-fucosyl residue at the 2-position and an N-acetyl-alpha-D-galactosaminyl residue at the 3-position. It is a galactosamine oligosaccharide and an amino trisaccharide.,CC(O)=N[C@H]1[C@@H](O[C@H]2[C@@H](O)[C@@H](CO)OC(O)[C@@H]2O[C@@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,3,10,3+,3+,3+r/3+b (hardest),0.1765
"The molecule is a chromenol that is 2,2-dimethyl-2H-chromen-5-ol substituted by a 6-hydroxy-1-benzofuran-2-yl group at position 6. It has a role as a plant metabolite. It is a member of 1-benzofurans and a chromenol.",CC1(C)C=Cc2c(ccc(-c3cc4ccc(O)cc4o3)c2O)O1,4,4,3+,3+,3+r/3+b (hardest),0.1846
"The molecule is an oxime O-ether consisting of progesterone having an O-(carboxymethyl)oxime group at the 3-position and a hydroxy group at the 17alpha-position. It is a monocarboxylic acid, a 20-oxo steroid, an oxime O-ether, a 17alpha-hydroxy steroid and a tertiary alpha-hydroxy ketone. It derives from a progesterone 3-O-(carboxymethyl)oxime.",CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,4,5,3+,3+,3+r/3+b (hardest),0.236
The molecule is an indole alkaloid having the structure of aspirospermidine methoxylated at C-17 and acetylated at N-1. It derives from a hydride of an aspidospermidine.,CC[C@@]12CCCN3CC[C@]4(c5cccc(OC)c5N(C(C)=O)[C@@H]4CC1)[C@H]32,5,4,3+,3+,3+r/3+b (hardest),0.1519
"The molecule is a carbamate ester of thymidine in which the 5'-hydroxy group has been esterified with [3-(benzoyloxy)-3-oxopropyl]carbamic acid, It derives from a thymidine.",Cc1cn([C@H]2C[C@H](O)[C@@H](COC(O)=NCCC(=O)OC(=O)c3ccccc3)O2)c(=O)nc1O,3,7,3+,3+,3+r/3+b (hardest),0.1565
"The molecule is an N-acylglycine resulting from the formal condensation of the amino group of glycine with the carboxy group of 4-hydroxy-1-methyl-7-phenoxyisoquinoline-3-carboxylic acid. It is an inhibitor of hypoxia inducible factor prolyl hydroxylase (HIF-PH). It has a role as an EC 1.14.11.2 (procollagen-proline dioxygenase) inhibitor and an EC 1.14.11.29 (hypoxia-inducible factor-proline dioxygenase) inhibitor. It is a member of isoquinolines, an aromatic ether and a N-acylglycine.",Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,3,5,3+,3+,3+r/3+b (hardest),0.1392
"The molecule is 5,6beta-epoxy-5beta-cholestan-3beta-ol It is a 3beta-hydroxy steroid, an oxysterol and an epoxy steroid. It derives from a hydride of a 5beta-cholestane.",CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45C[C@@H](O)CC[C@]5(C)[C@H]3CC[C@]12C,5,4,3+,3+,3+r/3+b (hardest),0.3171
The molecule is an all-trans-retinyl ester obtained by formal condensation of the carboxy group of dodecanoic (lauric) acid with the hydroxy group of all-trans-retinol. It has a role as a human xenobiotic metabolite and a rat metabolite. It is an all-trans-retinyl ester and a dodecanoic acid.,CCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1,5,1-2,3+,1-2r/3+b,0.1471
"The molecule is a tetrahydroxyindolizidine alkaloid that consists of octahydroindolizine having four hydroxy substituents located at positions 1, 6, 7 and 8 (the 1S,6S,7R,8R,8aR-diastereomer). It has a role as a metabolite, an anti-HIV-1 agent, an anti-inflammatory agent and an EC 3.2.1.* (glycosidase) inhibitor.",O[C@H]1[C@H](O)[C@@H](O)CN2CC[C@H](O)[C@H]12,2,3,1-2,3+,1-2r/3+b,0.2642
The molecule is a epsilon-lactone that is oxepan-2-one substituted by an isoprenyl group at position 4 and a methyl group at position 7. It derives from a hydride of an oxepane.,C=C(C)C1CCC(C)OC(=O)C1,1,3,1-2,3+,1-2r/3+b,0.15
The molecule is a labdane diterpenoid in which the labdane skeleton has double bonds at positions 8(17) and 14 and carries an S-hydroxy group at position 13. It has a role as a metabolite. It is a tertiary alcohol and a labdane diterpenoid.,C=C[C@@](C)(O)CC[C@@H]1C(=C)CC[C@@H]2C(C)(C)CCC[C@@]12C,2,5,1-2,3+,1-2r/3+b,0.1912
The molecule is an beta-D-glucoside in which the anomeric hydrogen of beta-D-glucopyranose is substituted by an octyl group. It has a role as a plant metabolite.,CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1,3,1-2,3+,1-2r/3+b,0.3651
The molecule is a monothiocarbamic ester that is phenyl methanesulfonate in which the hydrogen at position 4 is replaced by a (methylcarbamoyl)sulfanediyl group. It is a fungicide used for the treatment of a range of fungal diseases in rice. It is a monothiocarbamic ester and a methanesulfonate ester.,CN=C(O)Sc1ccc(OS(C)(=O)=O)cc1,1,4,1-2,3+,1-2r/3+b,0.2
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",N[C@@H](Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,2,9,1-2,3+,1-2r/3+b,0.1781
"The molecule is a carbamate ester that is the N-[1-(isobutyryloxy)ethoxy]carbonyl derivative of [1-(aminomethyl)cyclohexyl]acetic acid. The prodrug for gabapentin, used for treatment of neuropathic pain and restless legs syndrome. It has a role as a prodrug, an anticonvulsant and a calcium channel blocker. It is a monocarboxylic acid, a carbamate ester, a carboxylic ester and an acetal. It derives from a gamma-aminobutyric acid and a gabapentin.",CC(OC(=O)C(C)C)OC(O)=NCC1(CC(=O)O)CCCCC1,1,6,1-2,3+,1-2r/3+b,0.1042
"The molecule is a sesquiterpenoid that is benzoic acid substituted by a hydroxy group at position 3 and a (2S)-2-hydroxy-6-methylheptan-2-yl group at position 4. It has been isolated from the sea fan derived fungus Aspergillus sydowii. It has a role as an Aspergillus metabolite. It is a sesquiterpenoid, a monohydroxybenzoic acid and an aromatic alcohol.",CC(C)CCC[C@](C)(O)c1ccc(C(=O)O)cc1O,1,5,1-2,3+,1-2r/3+b,0.1515
"The molecule is the (S)-enantiomer of the racemic drug proglumide. It is a N(2)-benzoyl-N,N-dipropyl-alpha-glutamine and a L-glutamic acid derivative. It is an enantiomer of a (R)-proglumide.",CCCN(CCC)C(=O)[C@H](CCC(=O)O)N=C(O)c1ccccc1,1,5,1-2,3+,1-2r/3+b,0.1685
The molecule is an ortho- and peri-fused polycyclic arene that consists of a benzene ring fused with a acephenanthrylene ring. It has a role as a mutagen.,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,5,1,3+,1-2,3+r/1-2b,0.2889
"The molecule is an organic cation that is phenothiazin-5-ium substituted by methyl, amino and dimethylamino groups at positions 2, 3 and 7 respectively. The chloride salt is used as a histological dye.",Cc1cc2nc3ccc(N(C)C)cc3sc-2cc1=[NH2+],3,2,3+,1-2,3+r/1-2b,0.1493
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,4,2,3+,1-2,3+r/1-2b,0.1333
"The molecule is a member of the class of hydroxyindoles resulting from the formal oxidative coupling between the 3-position of 1,3-dihydro-2H-indol-2-one and the 3-position of 1,3-dihydro-2H-pyrrol-2-one, which is substituted at the 5 position by a 5-hydroxy-1H-indol-3-yl group, where the newly-formed double bond has E configuration. It is a purple chromobacterial pigment that has antibacterial, antifungal, antiprotozoan, and anticancer properties. It has a role as a bacterial metabolite, an antineoplastic agent, an apoptosis inducer, an antibacterial agent and an antifungal agent. It is a member of hydroxyindoles, a member of pyrroles, a member of oxindoles and an olefinic compound. It derives from a proviolacein.",O=C1N=c2ccccc2=C1c1cc(-c2c[nH]c3ccc(O)cc23)[nH]c1O,5,2,3+,1-2,3+r/1-2b,0.2025
"The molecule is a member of the class of benzofurans that is 1-benzofuran substituted by a 3-hydroxypropyl group at position 5 and a 4-hydroxy-2-methoxyphenyl group at position 2. It is a lignan derivative isolated from the roots of Krameria lappacea. It has a role as a plant metabolite, a NF-kappaB inhibitor, a cyclooxygenase 1 inhibitor, a cyclooxygenase 2 inhibitor and an anti-inflammatory agent. It is a member of benzofurans, a member of phenols, a monomethoxybenzene and a primary alcohol.",COc1cc(O)ccc1-c1cc2cc(CCCO)ccc2o1,3,2,3+,1-2,3+r/1-2b,0.2029
The molecule is a 7-oxo monocarboxylic acid anion. It derives from a nonanoate. It is a conjugate base of an 8-amino-7-oxononanoic acid.,CC(N)C(=O)CCCCCC(=O)[O-],0,3,0,3+,0r/3+b (CONTROL),0.3333
The molecule is trianion of (R)-5-phosphopantoic acid arising from deprotonation of the carboxy and phosphate OH groups; major species at pH 7.3 It is a hydroxy monocarboxylic acid anion and an organophosphate oxoanion. It is a conjugate base of a (R)-4-phosphopantoic acid.,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)[O-],0,6,0,3+,0r/3+b (CONTROL),0.3947
"The molecule is a 1,1-bis(phosphonic acid) that is methanebis(phosphonic acid) in which the two methylene hydrogens are replaced by hydroxy and 3-aminopropyl groups. It has a role as an EC 2.5.1.1 (dimethylallyltranstransferase) inhibitor and a bone density conservation agent. It is a 1,1-bis(phosphonic acid) and a primary amino compound. It is a conjugate acid of an alendronate(1-).",NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0,6,0,3+,0r/3+b (CONTROL),0.1154
The molecule is an aspartic acid derivative having a 3-methyl substituent. It is a non-proteinogenic L-alpha-amino acid and an amino dicarboxylic acid. It is a conjugate acid of a threo-3-methyl-L-aspartate(1-).,C[C@H](C(=O)O)[C@H](N)C(=O)O,0,4,0,3+,0r/3+b (CONTROL),0.1042
The molecule is a 4-hydroxy-2-oxoheptanedioate obtained by deprotonation of both carboxy groups of (S)-4-hydroxy-2-oxoheptanedioic acid; major species at pH 7.3. It is a conjugate base of a (S)-4-hydroxy-2-oxoheptanedioic acid.,O=C([O-])CC[C@H](O)CC(=O)C(=O)[O-],0,4,0,3+,0r/3+b (CONTROL),0.3913
