prompt,response
"The molecule is a scalarane sesterterpenoid that is 12-epi-scalarin in which the hydorxy group at position 19 is replaced by a methoxy group. It has been isolated from the sponge, Hyattella species. It has a role as an animal metabolite. It is a scalarane sesterterpenoid, an acetate ester, an organic heteropentacyclic compound and a gamma-lactone. It derives from a 12-epi-scalarin.",[C][O][C@@H1][O][C][=Branch1][C][=O][C][=C][C][C@H1][C@][Branch1][C][C][C][C][C@H1][C][Branch1][C][C][Branch1][C][C][C][C][C][C@][Ring1][Branch2][Branch1][C][C][C@H1][Ring1][=C][C][C@@H1][Branch1][#Branch1][O][C][Branch1][C][C][=O][C@][Ring2][Ring1][=Branch1][Branch1][C][C][C@H1][Ring2][Ring1][O][Ring2][Ring1][#C]
"The molecule is a member of the class of imidazolidinones that is 1,5,5-trimethyl-2-oxoimidazolidine bearing additional m-chlorophenyl and N'-p-chlorophenylureido substituents at positions 3 and 4 respectively. It is a member of monochlorobenzenes, an imidazolidinone and a member of phenylureas.",[C][N][C][=Branch1][C][=O][N][Branch1][N][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][Branch2][Ring1][C][N][=C][Branch1][C][O][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][Ring2][Ring1][Branch2][Branch1][C][C][C]
"The molecule is a hydroxycoumarin that is 4,7-dihydroxy-2H-chromen-2-one substituted by a 2,4-dihydroxyphenyl group at position 3. It is isolated from the roots of Asphodelus microcarpus and exhibits antimicrobial activity against bacteria like Staphylococcus aureus, Escherichia coli and Pseudomonas aeruginosa and fungal microorganisms like Candida albicans and Botrytis cinerea. It has a role as a metabolite, an antifungal agent and an antibacterial agent. It is a hydroxycoumarin and a polyphenol.",[O][=C][O][C][=C][C][Branch1][C][O][=C][C][=C][Ring1][#Branch1][C][Branch1][C][O][=C][Ring1][N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O]
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",[O][=N][C][=C][Branch2][Ring1][Ring2][C][=C][Branch1][C][O][NH1][C][=C][C][Branch1][C][Br][=C][C][=C][Ring1][O][Ring1][#Branch1][NH1][C][=C][C][=C][C][=C][Ring2][Ring1][Ring2][Ring1][=Branch1]
"The molecule is a member of the class of cyclobutadipyrimidines that is 1,4a,4b,8,8a,8b-hexahydrocyclobuta[1,2-d:4,3-d']dipyrimidine-2,4,7(3H)-trione carrying additional methyl and amino substituents at positions 4a and 5 respectively. It has a role as a Mycoplasma genitalium metabolite.",[C][C][C][Branch1][C][O][=N][C][Branch1][C][O][=N][C][Ring1][Branch2][C][N][=C][Branch1][C][O][N][C][=Branch1][C][=N][C][Ring1][Branch2][Ring1][S]
"The molecule is a glucocorticoid, a 20-oxo steroid, a 21-hydroxy steroid, a 17alpha-hydroxy steroid, a fluorinated steroid, an 11beta-hydroxy steroid, a 3-oxo-Delta(1),Delta(4)-steroid, a primary alpha-hydroxy ketone and a tertiary alpha-hydroxy ketone. It has a role as an anti-inflammatory drug, an anti-asthmatic agent and an immunosuppressive agent. It derives from a hydride of a pregnane.",[C][C@H1][C][C@H1][C@@H1][C][C][C][=C][C][=Branch1][C][=O][C][=C][C@][Ring1][#Branch1][Branch1][C][C][C@@][Ring1][N][Branch1][C][F][C@@H1][Branch1][C][O][C][C@][Ring2][Ring1][C][Branch1][C][C][C@@][Ring2][Ring1][=Branch1][Branch1][C][O][C][=Branch1][C][=O][C][O]
"The molecule is a trimethoxyflavone that is tricin in which the hydroxy group at position 7 has been replaced by a methoxy group. It has been isolated from the stems of Sinocalamus affinis. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It derives from a 3',5'-di-O-methyltricetin.",[C][O][C][=C][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Ring2][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][O][O][C][Ring2][Ring1][C][=C][Ring2][Ring1][#Branch1]
The molecule is a nucleotide-sugar oxoanion arising from deprotonation of all four phosphate OH groups of 1-(5-phospho-beta-D-ribosyl)-5'-AMP; major species at pH 7.3. It has a role as a Saccharomyces cerevisiae metabolite. It is a conjugate base of a 1-(5-phospho-beta-D-ribosyl)-5'-AMP.,[N][=C][C][N][=C][N][Branch2][Ring1][Branch2][C@@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@@H1][Branch1][C][O][C@H1][Ring1][N][O][C][=Ring2][Ring1][C][N][=C][N][Ring2][Ring1][=Branch1][C@@H1][O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@@H1][Branch1][C][O][C@H1][Ring1][N][O]
"The molecule is a monohydroxyflavone that is flavone with a hydroxy substituent at position 5 and methoxy groups at positions 7, 2', 4' and 5'. Isolated from Calliandra californica, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a monohydroxyflavone and a tetramethoxyflavone.",[C][O][C][=C][C][Branch1][C][O][=C][C][=Branch1][C][=O][C][=C][Branch2][Ring1][Ring1][C][=C][C][Branch1][Ring1][O][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][O][C][O][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][Branch2]
"The molecule is a tetracyclic triterpenoid that is dammar-20-ene substituted by hydroxy groups at positions 24 and 25 and an oxo group at position 3. It has been isolated from the stems of Aglaia abbreviata. It has a role as a plant metabolite. It is a diol, a tetracyclic triterpenoid and a cyclic terpene ketone. It derives from a hydride of a dammarane.",[C][=C][Branch1][#C][C][C][C][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][O][C@H1][C][C][C@][Branch1][C][C][C@@H1][Ring1][=Branch1][C][C][C@@H1][C@@][Branch1][C][C][C][C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C@@H1][Ring1][#Branch2][C][C][C@][Ring1][=C][Ring2][Ring1][Ring1][C]
"The molecule is dianon of 3,5-dibromo-4-hydroxybenzoic acid arising from deprotonation of both the carboxy and phenolic functions. It is a monocarboxylic acid anion and a phenolate anion. It is a conjugate base of a 3,5-dibromo-4-hydroxybenzoic acid.",[O][=C][Branch1][C][O-1][C][=C][C][Branch1][C][Br][=C][Branch1][C][O-1][C][Branch1][C][Br][=C][Ring1][=Branch2]
The molecule is a dicarboxylic acid dianion arising from deprotonation of both carboxy groups of 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal; major species at pH 7.3. It is a conjugate base of a 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal.,[O][=C][Branch1][C][O-1][C][=C][C][Branch1][C][O][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring1][#Branch2]
"The molecule is a nucleobase analogue that is uracil substituted with a (2-hydroxyethyl)amino group at position 6 and an (E)-(2-oxopropylidene)amino group at position 5; one of 20 modifications to the potent microbial riboflavin-based metabolite antigen 5-(2-oxopropylideneamino)-6-D-ribityl aminouracil (5-OP-RU), an activator of mucosal-associated invariant T (MAIT) cells when presented by the MR1 protein (reported in MED:32123373). It has a role as an epitope. It is a pyrimidone and a nucleobase analogue. It derives from a uracil.",[C][C][=Branch1][C][=O][C][=N][C][=C][Branch1][C][O][N][=C][Branch1][C][O][N][=C][Ring1][Branch2][N][C][C][O]
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the amino group of 2-(glutathion-S-yl)hydroquinone; major species at pH 7.3. It is a conjugate base of a 2-(glutathion-S-yl)-1,4-hydroquinone.",[N][C@@H1][Branch2][Ring2][Ring2][C][C][C][Branch1][C][O][=N][C@@H1][Branch1][#C][C][S][C][=C][C][Branch1][C][O-1][=C][C][=C][Ring1][#Branch1][O][C][Branch1][C][O][=N][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
The molecule is a monocarboxylic acid anion that is the conjugate base of mupirocin obtained by the deprotonation of the carboxy group; major microspecies at pH 7.3. It is a conjugate base of a mupirocin.,[C][/C][=Branch2][Ring1][Ring2][=C][\C][=Branch1][C][=O][O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O-1][C][C@@H1][O][C][C@H1][Branch1][S][C][C@@H1][O][C@H1][Ring1][Ring1][C@@H1][Branch1][C][C][C@H1][Branch1][C][C][O][C@@H1][Branch1][C][O][C@H1][Ring1][S][O]
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",[N][C@@H1][Branch2][Ring2][O][C][C][=C][C][Branch1][C][I][=C][Branch2][Ring1][Branch2][O][C][=C][C][=C][Branch1][#Branch2][O][S][=Branch1][C][=O][=Branch1][C][=O][O][C][Branch1][C][I][=C][Ring1][N][C][Branch1][C][I][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O]
"The molecule is trianion of 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid arising from deprotonation of the two carboxy groups as well as removal of the acidic proton at C2; major species at pH 7.3. It is a conjugate base of a 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid.",[O][=C][Branch1][C][O-1][C][C][O][C][Branch1][C][O-1][=C][C][=Ring1][=Branch1][C][=Branch1][C][=O][O-1]
"The molecule is a member of the class of thioureas that is 3,4-dihydropyrimidine-2(1H)-thione substituted by a 3-methoxyphenyl group at position 4, a methyl group at position 6 and a ethoxycarbonyl group at position 5. It is a pyrimidinecarboxylate ester, an aromatic ether, a member of thioureas and an ethyl ester.",[C][C][O][C][=Branch1][C][=O][C][=C][Branch1][C][C][N][=C][Branch1][C][S][N][C][Ring1][Branch2][C][=C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][Branch2]
The molecule is a 2-acylphloroglucinol in which the acyl group is specified as hexanoyl. It is the intermediate biosynthetic precursor for differentiation-inducing factor 1 (DIF-1). It has a role as a plant metabolite.,[C][C][C][C][C][C][=Branch1][C][=O][C][=C][Branch1][C][O][C][=C][Branch1][C][O][C][=C][Ring1][Branch2][O]
The molecule is l-Cysteine substituted at nitrogen by an acetyl group and at sulfur by a substituted-lactam carbonyl group. It is a lactam and a S-substituted L-cysteine.,[C][C][Branch1][C][O][=N][C@@H1][Branch2][Ring1][S][C][S][C][=Branch1][C][=O][C@][Branch1][#Branch2][C@@H1][Branch1][C][O][C][Branch1][C][C][C][N][=C][Branch1][C][O][C@H1][Branch1][C][C][C@@H1][Ring1][N][O][C][=Branch1][C][=O][O]
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,[C][NH1+1][C][C][C][=Branch2][Ring1][Branch2][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][=Branch1][C][=O][C][S][C][=C][C][=Ring1][Branch1][Ring1][#C][C][C][Ring2][Ring1][Branch1]
"The molecule is a sesquiterpenoid that is bisabola-2,10-diene substituted by a peroxy group between positions 2 and 10 (the 1S,4R,6R stereoisomer). Isolated from Artemisia stolonifera and Eupatorium rufescens, it exhibits antineoplastic and antiplasmodial activity. It has a role as a metabolite, an antineoplastic agent and an antiplasmodial drug. It is an organic peroxide and a sesquiterpenoid. It derives from a hydride of a bisabolane.",[C][C][Branch1][C][C][=C][C][C][C@H1][Branch1][C][C][C@H1][C][C@H1][O][O][C@@H1][Ring1][=Branch1][C][=C][Ring1][=Branch1][C]
"The molecule is an N-(1-benzylpyrrolidin-3-yl)-5,6-dimethylthieno[2,3-d]pyrimidin-4-amine in which the chiral centre has R configuration. Both enantiomers act as fatty acid synthase inhibitors, although the (S)-enantiomer was found to be more than 4 times as active as the (R)-enantiomer. It has a role as a fatty acid synthesis inhibitor and an EC 2.3.1.85 (fatty acid synthase) inhibitor. It is an enantiomer of a (S)-Fasnall.",[C][C][S][C][=N][C][=N][C][Branch2][Ring1][Ring2][N][C@@H1][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][=C][Ring2][Ring1][Ring1][C][=Ring2][Ring1][=Branch1][C]
The molecule is a member of the class of ptercoarpans that is cis-pterocarpan substituted by a hydroxy group at position 3 and a methylenedioxy group across positions 8 and 9. It is a member of pterocarpans and a member of phenols.,[O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][C][C][=C][C][=C][Branch1][O][C][=C][Ring1][=Branch1][O][C][Ring1][=C][Ring1][=Branch2][O][C][O][Ring1][=Branch2]
"The molecule is an azaarene that is benzo[c]cinnoline with methoxy substituents at positions 1 and 10. It is isolated from Streptomyces sp. strain 4849 with pharmaceutical potential as an inhibitor of interleukin-4 receptor (IL-4). It has a role as a metabolite and an antimicrobial agent. It is an azaarene, an aromatic ether and an organic heterotricyclic compound.",[C][O][C][=C][C][=C][C][=N][N][=C][C][=C][C][=C][Branch1][Ring1][O][C][C][Ring1][Branch2][=C][Ring1][S][Ring1][N]
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,[N][C][C][C][C][C@H1][Branch1][=Branch2][N][=C][Branch1][C][O][C][C][N][C][=Branch1][C][=O][O]
"The molecule is a member of the class of chloroethanes that is ethane in which five of the six hydrogens are replaced by chlorines. A non-flammable, high-boiling liquid (b.p. 161-162℃) with relative density 1.67 and an odour resembling that of chloroform, it is used as a solvent for oil and grease, in metal cleaning, and in the separation of coal from impurities. It has a role as a non-polar solvent.",[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl]
The molecule is a quaternary ammonium ion where three methyl groups and one 2-phosphoethyl group are attached to the nitrogen. It has a role as a mouse metabolite. It derives from a phosphonic acid.,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][P][=Branch1][C][=O][Branch1][C][O][O]
The molecule is a citronellic acid that has (S)-configuration. It is a conjugate acid of a (S)-citronellate. It is an enantiomer of a (R)-citronellic acid.,[C][C][Branch1][C][C][=C][C][C][C@H1][Branch1][C][C][C][C][=Branch1][C][=O][O]
"The molecule is a nitroso compound that is triazane in which the nitrogen at position 1 is substituted by an isopropyl group and a 3-aminopropyl group, that at position 2 is substituted by a hydroxy group, and that at position 3 is substituted by an oxo group. It is a nitric oxide donor. It has a role as a nitric oxide donor. It is a nitroso compound, a tertiary amino compound and a primary amino compound.",[C][C][Branch1][C][C][N][Branch1][Branch1][C][C][C][N][/N+1][Branch1][C][O-1][=N][/O]
