prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a scalarane sesterterpenoid that is 12-epi-scalarin in which the hydorxy group at position 19 is replaced by a methoxy group. It has been isolated from the sponge, Hyattella species. It has a role as an animal metabolite. It is a scalarane sesterterpenoid, an acetate ester, an organic heteropentacyclic compound and a gamma-lactone. It derives from a 12-epi-scalarin.",CO[C@@H]1OC(=O)C2=CC[C@H]3[C@]4(C)CC[C@H]5C(C)(C)CCC[C@]5(C)[C@H]4C[C@@H](OC(C)=O)[C@]3(C)[C@H]21,CC(C)OC[C@@H]1CC[C@H]2[C@@](C)([CH]CC[C@@]3(O)C=CC(=O)OCC(C(C)(C)O)[CH]CC[C@](C)(O)[CH]C[C@]23C)O1,True,False,0.792,0.5235,0.6513,0.3295,0.4388,0.1364,0.6182,0.4824
"The molecule is a member of the class of imidazolidinones that is 1,5,5-trimethyl-2-oxoimidazolidine bearing additional m-chlorophenyl and N'-p-chlorophenylureido substituents at positions 3 and 4 respectively. It is a member of monochlorobenzenes, an imidazolidinone and a member of phenylureas.",CN1C(=O)N(c2cccc(Cl)c2)C(N=C(O)Nc2ccc(Cl)cc2)C1(C)C,CC(C)(C)NC(=O)CN=c1c2ccc(Cl)cc2nc(Cl)n1-c1ccc(Cl)cc1Cl,True,False,0.6904,0.4897,0.6845,0.4783,0.463,0.1975,0.6176,0.3888
"The molecule is a hydroxycoumarin that is 4,7-dihydroxy-2H-chromen-2-one substituted by a 2,4-dihydroxyphenyl group at position 3. It is isolated from the roots of Asphodelus microcarpus and exhibits antimicrobial activity against bacteria like Staphylococcus aureus, Escherichia coli and Pseudomonas aeruginosa and fungal microorganisms like Candida albicans and Botrytis cinerea. It has a role as a metabolite, an antifungal agent and an antibacterial agent. It is a hydroxycoumarin and a polyphenol.",O=c1oc2cc(O)ccc2c(O)c1-c1ccc(O)cc1O,C=C(O)C(O)=CC(=CC=O)c1ccc(O)cc1O,True,False,0.5171,0.4346,0.5171,0.4346,0.4571,0.2308,0.5588,0.214
"The molecule is a member of the class of biindoles that is indirubin substituted at position 6 by a bromo group and in which the keto group at position 3' has undergone condensation with hydroxylamine to form the corresponding oxime. It has a role as an EC 2.7.11.1 (non-specific serine/threonine protein kinase) inhibitor and an EC 2.7.11.26 (tau-protein kinase) inhibitor. It is a ketoxime, an organobromine compound, a member of oxindoles and a biindole.",O=Nc1c(-c2c(O)[nH]c3cc(Br)ccc23)[nH]c2ccccc12,OC=CC=C1C=CNc2cc(Br)cc(Br)c2NC1=Nc1ccccc1Cl,True,False,0.5023,0.39,0.5407,0.413,0.3556,0.1538,0.5,0.3212
"The molecule is a member of the class of cyclobutadipyrimidines that is 1,4a,4b,8,8a,8b-hexahydrocyclobuta[1,2-d:4,3-d']dipyrimidine-2,4,7(3H)-trione carrying additional methyl and amino substituents at positions 4a and 5 respectively. It has a role as a Mycoplasma genitalium metabolite.",CC12C(O)=NC(O)=NC1C1N=C(O)NC(=N)C12,N[CH]N=C(O)N=C(O)C(=O)NCCC1CC(=O)N=C(O)C1,True,False,0.6149,0.3976,0.6641,0.4303,0.5122,0.1,0.5,0.2884
"The molecule is a glucocorticoid, a 20-oxo steroid, a 21-hydroxy steroid, a 17alpha-hydroxy steroid, a fluorinated steroid, an 11beta-hydroxy steroid, a 3-oxo-Delta(1),Delta(4)-steroid, a primary alpha-hydroxy ketone and a tertiary alpha-hydroxy ketone. It has a role as an anti-inflammatory drug, an anti-asthmatic agent and an immunosuppressive agent. It derives from a hydride of a pregnane.",C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@@]12C3=CC(=O)C=C1[C@]1(O)C(=O)[C@](F)(C(=O)C=C[C](F)C(=O)F)O[C@@]14C[C@@H](O)[C@H](F)[C](F)C4[C@H]2[CH]CC3,True,False,0.68,0.5527,0.5193,0.3454,0.4182,0.2079,0.7358,0.5115
"The molecule is a trimethoxyflavone that is tricin in which the hydroxy group at position 7 has been replaced by a methoxy group. It has been isolated from the stems of Sinocalamus affinis. It has a role as a plant metabolite. It is a trimethoxyflavone and a dihydroxyflavone. It derives from a 3',5'-di-O-methyltricetin.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(O)c(OC)c3)oc2c1,CCOc1c(OC)cc(C=CC(=O)c2c(O)cc(O)cc2O)cc1OC,True,False,0.7495,0.5846,0.7495,0.5846,0.4667,0.2258,0.6842,0.2716
The molecule is a nucleotide-sugar oxoanion arising from deprotonation of all four phosphate OH groups of 1-(5-phospho-beta-D-ribosyl)-5'-AMP; major species at pH 7.3. It has a role as a Saccharomyces cerevisiae metabolite. It is a conjugate base of a 1-(5-phospho-beta-D-ribosyl)-5'-AMP.,N=c1c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[CH]O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@H](O)[CH]O,True,False,0.5588,0.488,0.6033,0.4517,0.4867,0.2469,0.8169,0.5536
"The molecule is a monohydroxyflavone that is flavone with a hydroxy substituent at position 5 and methoxy groups at positions 7, 2', 4' and 5'. Isolated from Calliandra californica, it exhibits antibacterial activity. It has a role as a metabolite and an antibacterial agent. It is a monohydroxyflavone and a tetramethoxyflavone.",COc1cc(O)c2c(=O)cc(-c3cc(OC)c(OC)cc3OC)oc2c1,CCCC1=C(OC)C=C(O)C=C(O)C1=COC12C=C(O)C(=COC1)C(C)=C(OC)CO2,True,False,0.3135,0.1337,0.3135,0.1337,0.2931,0.1034,0.4074,0.2909
"The molecule is a tetracyclic triterpenoid that is dammar-20-ene substituted by hydroxy groups at positions 24 and 25 and an oxo group at position 3. It has been isolated from the stems of Aglaia abbreviata. It has a role as a plant metabolite. It is a diol, a tetracyclic triterpenoid and a cyclic terpene ketone. It derives from a hydride of a dammarane.",C=C(CCC(O)C(C)(C)O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3CC[C@]12C,C[C]([CH]CC1[C](C)CCC[C@]1(C)[CH]C[CH][C]1CCC[C@@H]([C](C)CO)OC1)CCCC(C)C,True,False,0.6089,0.3829,0.5141,0.2811,0.4556,0.1386,0.4898,0.3171
"The molecule is dianon of 3,5-dibromo-4-hydroxybenzoic acid arising from deprotonation of both the carboxy and phenolic functions. It is a monocarboxylic acid anion and a phenolate anion. It is a conjugate base of a 3,5-dibromo-4-hydroxybenzoic acid.",O=C([O-])c1cc(Br)c([O-])c(Br)c1,O=C([O-])c1ccc([O-])c(Cl)c1O,True,False,0.7663,0.695,0.7735,0.6708,0.7742,0.2571,0.7917,0.336
The molecule is a dicarboxylic acid dianion arising from deprotonation of both carboxy groups of 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal; major species at pH 7.3. It is a conjugate base of a 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal.,O=C([O-])C1=CC(O)OC(C(=O)[O-])=C1,O=C([O-])/C=C(/C=C([O-])/C=C\C=C\C(=O)[O-])C(=O)[O-],True,False,0.5185,0.396,0.5114,0.3378,0.5192,0.1163,0.5909,0.3762
"The molecule is a nucleobase analogue that is uracil substituted with a (2-hydroxyethyl)amino group at position 6 and an (E)-(2-oxopropylidene)amino group at position 5; one of 20 modifications to the potent microbial riboflavin-based metabolite antigen 5-(2-oxopropylideneamino)-6-D-ribityl aminouracil (5-OP-RU), an activator of mucosal-associated invariant T (MAIT) cells when presented by the MR1 protein (reported in MED:32123373). It has a role as an epitope. It is a pyrimidone and a nucleobase analogue. It derives from a uracil.",CC(=O)C=Nc1c(O)nc(O)nc1NCCO,CCC(=O)C=C(O)N=C(O)N=C(O)CCC(=N)N=C(O)[C@H](CO)[C@H]1N=C(O)C(=O)C=C(NC(C)=C(N)O)OC1OC,True,False,0.2169,0.129,0.2396,0.1426,0.2353,0.1546,0.64,0.2442
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the amino group of 2-(glutathion-S-yl)hydroquinone; major species at pH 7.3. It is a conjugate base of a 2-(glutathion-S-yl)-1,4-hydroquinone.",N[C@@H](CCC(O)=N[C@@H](CSc1cc([O-])ccc1O)C(O)=NCC(=O)O)C(=O)O,N[C@H](C(=O)O)C(=O)[C@@H](N)CSCC(O)=NCC(=O)CSC[C@@H](C=O)N=C([O-])CC[C@H](N)O[C@@H](CCC(=O)[O-])C(=O)O,True,False,0.4865,0.4277,0.4935,0.4044,0.451,0.2418,0.6667,0.3014
The molecule is a monocarboxylic acid anion that is the conjugate base of mupirocin obtained by the deprotonation of the carboxy group; major microspecies at pH 7.3. It is a conjugate base of a mupirocin.,C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,C[C@H](CCC(=O)[O-])CC[C@@H](C)C(=O)[O-],True,False,0.211,0.1857,0.2269,0.1813,0.3402,0.1714,0.383,0.1561
"The molecule is an O-sulfoamino acid and an aryl sulfate. It has a role as a human metabolite. It derives from a 3,3',5-triiodo-L-thyronine.",N[C@@H](Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,O=P(O)(O)OC=C(I)C(C=CS(=O)(=O)O)[C@H]1C(I)=C(I)[O+]=CC(S(=O)(=O)O)=C1I,True,False,0.4962,0.314,0.48,0.3168,0.2857,0.1375,0.4925,0.232
"The molecule is trianion of 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid arising from deprotonation of the two carboxy groups as well as removal of the acidic proton at C2; major species at pH 7.3. It is a conjugate base of a 2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid.",O=C([O-])Cc1oc([O-])cc1C(=O)[O-],O=C([O-])C(=O)c1ccc([O-])cc1C(=O)O,True,False,0.7739,0.7006,0.7071,0.6223,0.7353,0.2439,0.6296,0.3194
"The molecule is a member of the class of thioureas that is 3,4-dihydropyrimidine-2(1H)-thione substituted by a 3-methoxyphenyl group at position 4, a methyl group at position 6 and a ethoxycarbonyl group at position 5. It is a pyrimidinecarboxylate ester, an aromatic ether, a member of thioureas and an ethyl ester.",CCOC(=O)C1=C(C)N=C(S)NC1c1cccc(OC)c1,COC(=O)C1=CC=CC(C=O)CN=C(O)N(C)CN=C(C)C(OC)C(OC)=C1CC(=N)O,True,False,0.4239,0.3253,0.4239,0.3253,0.431,0.1889,0.4933,0.3609
The molecule is a 2-acylphloroglucinol in which the acyl group is specified as hexanoyl. It is the intermediate biosynthetic precursor for differentiation-inducing factor 1 (DIF-1). It has a role as a plant metabolite.,CCCCCC(=O)c1c(O)cc(O)cc1O,CCCCCC(=O)c1c(O)cc(O)c(O)c1CCC(CC)C(=O)CCCCOC,True,False,0.527,0.4917,0.527,0.4917,0.5556,0.4231,0.7143,0.5237
The molecule is l-Cysteine substituted at nitrogen by an acetyl group and at sulfur by a substituted-lactam carbonyl group. It is a lactam and a S-substituted L-cysteine.,CC(O)=N[C@@H](CSC(=O)[C@]1([C@@H](O)C(C)C)N=C(O)[C@H](C)[C@@H]1O)C(=O)O,CSS[SH](C)C[C@@H](SN=C(O)[C@H](CC(=O)O)N=C(O)[C@@H](C)[C@H](CS)N=C(S)[C@H](CSCC(=O)O)N=C(C)O)C(=O)O,True,False,0.6376,0.5312,0.5552,0.4137,0.4949,0.1978,0.4853,0.3637
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,CN1CC(=O)c2ccc(cc2)Cc2ccccc2C(=O)C(c2ccccc2)C1=O,True,False,0.4942,0.3036,0.4856,0.3009,0.4375,0.2424,0.4603,0.4375
"The molecule is a sesquiterpenoid that is bisabola-2,10-diene substituted by a peroxy group between positions 2 and 10 (the 1S,4R,6R stereoisomer). Isolated from Artemisia stolonifera and Eupatorium rufescens, it exhibits antineoplastic and antiplasmodial activity. It has a role as a metabolite, an antineoplastic agent and an antiplasmodial drug. It is an organic peroxide and a sesquiterpenoid. It derives from a hydride of a bisabolane.",CC(C)=CCC[C@H](C)[C@H]1C[C@H]2OO[C@@H]1C=C2C,C[C]1C(C/C=C(\C)CCC=C(C)C)[C@H]2[C@@H](OC(C)(C)O)CC[C@@H]12,True,False,0.6439,0.4439,0.4557,0.166,0.4407,0.209,0.5366,0.3476
"The molecule is an N-(1-benzylpyrrolidin-3-yl)-5,6-dimethylthieno[2,3-d]pyrimidin-4-amine in which the chiral centre has R configuration. Both enantiomers act as fatty acid synthase inhibitors, although the (S)-enantiomer was found to be more than 4 times as active as the (R)-enantiomer. It has a role as a fatty acid synthesis inhibitor and an EC 2.3.1.85 (fatty acid synthase) inhibitor. It is an enantiomer of a (S)-Fasnall.",Cc1sc2ncnc(N[C@@H]3CCN(Cc4ccccc4)C3)c2c1C,CC1[CH]CC[C@H](C(O)=N[C@H](C=C2C=CC=C2)Cn2cncn2)NC1,True,False,0.3349,0.1243,0.2774,0.0,0.2549,0.1319,0.4444,0.2603
The molecule is a member of the class of ptercoarpans that is cis-pterocarpan substituted by a hydroxy group at position 3 and a methylenedioxy group across positions 8 and 9. It is a member of pterocarpans and a member of phenols.,Oc1ccc2c(c1)OCC1c3cc4c(cc3OC21)OCO4,COc1ccc(-c2ccc3c(c2)OCO3)cc1O,True,False,0.6406,0.3526,0.6406,0.3526,0.4286,0.2642,0.7778,0.1965
"The molecule is an azaarene that is benzo[c]cinnoline with methoxy substituents at positions 1 and 10. It is isolated from Streptomyces sp. strain 4849 with pharmaceutical potential as an inhibitor of interleukin-4 receptor (IL-4). It has a role as a metabolite and an antimicrobial agent. It is an azaarene, an aromatic ether and an organic heterotricyclic compound.",COc1cccc2nnc3cccc(OC)c3c12,COc1ccc2c(c1)COc1ccccc1OCc1ccccc1-2,True,False,0.5087,0.3525,0.5087,0.3525,0.5429,0.1818,0.5135,0.1651
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,NCCCC[C@H](N=C(O)CCN)C(=O)O,CCN=C(O)[C@H](C[CH]CCN)NCCC(CCOC(=O)[C@H](CCCCN)N=C(O)CC(=N)O)C(=O)O,True,False,0.3849,0.323,0.3796,0.3107,0.3971,0.3088,0.7872,0.395
"The molecule is a member of the class of chloroethanes that is ethane in which five of the six hydrogens are replaced by chlorines. A non-flammable, high-boiling liquid (b.p. 161-162℃) with relative density 1.67 and an odour resembling that of chloroform, it is used as a solvent for oil and grease, in metal cleaning, and in the separation of coal from impurities. It has a role as a non-polar solvent.",ClC(Cl)C(Cl)(Cl)Cl,CC(C)Cl,True,False,0.1696,0.0,0.1798,0.0,0.3889,0.3,0.375,0.2143
The molecule is a quaternary ammonium ion where three methyl groups and one 2-phosphoethyl group are attached to the nitrogen. It has a role as a mouse metabolite. It derives from a phosphonic acid.,C[N+](C)(C)CCP(=O)(O)O,C[N+](C)(C)CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-],True,False,0.3894,0.3282,0.465,0.3788,0.4151,0.303,0.7021,0.0982
The molecule is a citronellic acid that has (S)-configuration. It is a conjugate acid of a (S)-citronellate. It is an enantiomer of a (R)-citronellic acid.,CC(C)=CCC[C@H](C)CC(=O)O,O=C(O)C[C@H](O)C(=O)O,True,False,0.6715,0.4998,0.6014,0.367,0.6667,0.3,0.2727,0.1976
"The molecule is a nitroso compound that is triazane in which the nitrogen at position 1 is substituted by an isopropyl group and a 3-aminopropyl group, that at position 2 is substituted by a hydroxy group, and that at position 3 is substituted by an oxo group. It is a nitric oxide donor. It has a role as a nitric oxide donor. It is a nitroso compound, a tertiary amino compound and a primary amino compound.",CC(C)N(CCCN)/[N+]([O-])=N/O,CN(C)CCN(CCCN)N(O)C(=O)N=C(O)NCCN(CCCNN)COCNC(O)=NCCN(CCCNN)N(C)N,True,False,0.2437,0.1693,0.2305,0.1646,0.2615,0.1538,0.6567,0.1413
