prompt,gt_smiles,gen_smiles,valid,exact_match,bleu2,bleu4,atom_bleu2,atom_bleu4,lev_sim,morgan_sim,maccs_sim,rdk_sim
"The molecule is a monocarboxylic acid amide that is piroxicam in which the pyrid-2-yl group is replaced by a 5-methyl-1,2-oxazol-3-yl group. A non-steroidal anti-inflammatory drug, it was withdrawn from the market in the 1980s following its association with cases of Stevens-Johnson syndrome. It has a role as a non-steroidal anti-inflammatory drug and an antirheumatic drug. It is a benzothiazine, a member of isoxazoles and a monocarboxylic acid amide.",Cc1cc(=NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[nH]o1,CCNCSC(=NC(=O)c1ccccc1)C(=O)c1ccccc1N1C(C)=NNC1CC,True,False,0.5428,0.362,0.5428,0.362,0.3265,0.1573,0.4737,0.4132
"The molecule is a 4'-methoxyisoflavone that is formononetin attached to a beta-D-glucopyranosyl moiety at position 7 via a glycosidic linkage. It has a role as a plant metabolite. It is a monosaccharide derivative, a member of 4'-methoxyisoflavones and a 7-hydroxyisoflavones 7-O-beta-D-glucoside. It derives from a formononetin.",COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)ccc3c2=O)cc1,O=C1C=C(O)COC=CC=C1[CH]c1cc2cc(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c-2cco1,True,False,0.706,0.5796,0.5995,0.3915,0.5625,0.3614,0.75,0.5275
"The molecule is a steroid glucosiduronic acid that is 2-hydroxy-17beta-estradiol having a single beta-D-glucuronic acid residue attached at position 2. It is a beta-D-glucosiduronic acid, a 17beta-hydroxy steroid, a steroid glucosiduronic acid and a 3-hydroxy steroid. It derives from a 2-hydroxy-17beta-estradiol. It is a conjugate acid of a 2-hydroxy-17beta-estradiol 2-O-(beta-D-glucuronide)(1-).",C[C@]12CC[C@@H]3c4cc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,C[C]1CC[CH]c2ccc(O)cc2C[C@H]([C@@H]2O[C@H](O)[C@@H](O)[C@H](O)[C@H]2O)[CH]CC[CH][CH]CC[C@@H]1O,True,False,0.7639,0.6311,0.6345,0.417,0.63,0.1895,0.8444,0.5327
The molecule is a galactoglycerolipid that consists of 3-(3-O-sulfo-beta-D-galactosyl)-sn-glycerol in which the glycerol portion is alkylated at position 1 by a pentyl group.,CCCCCOC[C@@H](O)CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)O)[C@H]1O,CCCCCCCCCCCCCC1CC(=O)O[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](CO)[C@H](O)[C@H]1O,True,False,0.6444,0.5462,0.6054,0.4565,0.5851,0.2973,0.6129,0.4761
"The molecule is a myo-inositol hexakisphosphate in which each hydroxy group of myo-inositol is monophosphorylated. It has a role as an iron chelator, an antineoplastic agent, a signalling molecule, an Escherichia coli metabolite, a mouse metabolite and a cofactor. It is a conjugate acid of a myo-inositol hexakisphosphate(12-).",O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,O=P(O)(O)O[CH][C@H](O)[C@H](O)C(OP(=O)(O)O)P(=O)(O)O[C@@H](O)C(O)C(O)C(O)[CH]O,True,False,0.669,0.5459,0.6524,0.5396,0.5641,0.1707,0.7333,0.2534
"The molecule is an organophosphate oxoanion obtained by deprotonation of the carboxy and phosphate OH groups of pyridinium-3,5-bisthiocarboxylic acid mononucleotide; major species at pH 7.3. It is an organophosphate oxoanion and an organic sulfur anion. It is a conjugate base of a pyridinium-3,5-bisthiocarboxylic acid mononucleotide.",O=C([S-])c1cc(C(=O)[S-])c[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1,O=C([O-])[CH]O[C@H](c1ccc(OS(=O)(=O)[O-])cc1)[C@@H](O)[CH]S(=O)(=O)[O-],True,False,0.7007,0.5395,0.6744,0.3963,0.4074,0.125,0.3768,0.242
"The molecule is an S-substituted glutathione(1-) obtained by deprotonation of the the two carboxy groups and protonation of the glutamyl amino group of S-(2,4-dinitrophenyl)glutathione. Major microspecies at pH 7.3. It derives from a glutathionate(1-). It is a conjugate base of a S-(2,4-dinitrophenyl)glutathione.",N[C@@H](CCC([O-])=N[C@@H](CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(O)=NCC(=O)O)C(=O)O,N[C@@H](CCC([O-])=N[C@@H](CCSCC(=O)[O-])C(=O)O[C@H](C[O-])CC(=O)[O-])N[C@@H](CC(=O)[O-])C(=O)[O-],True,False,0.6707,0.5802,0.7103,0.5922,0.6186,0.236,0.4789,0.3204
The molecule is a cyclitol phosphate that is validamine carrying a single monophosphate substituent at position 7. It is an amino cyclitol and a cyclitol phosphate. It derives from a validamine. It is a conjugate acid of a validamine 7-phosphate(1-).,N[C@H]1C[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O,NC[C@H]1O[C@H](OC2[C@H](O)O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[CH]N[C@@H](O)[C@@H]1O,True,False,0.4965,0.4466,0.5222,0.3714,0.5109,0.1111,0.5345,0.2189
"The molecule is a member of the class of dioxolanes that is 1,3-dioxolane substituted at position 2 by a 4-bromo-6,6,6-trichloro-2-methyl-2-hexanyl group. It is a dioxolane, a cyclic acetal, an organobromine compound and an organochlorine compound. It derives from a hydride of a 1,3-dioxolane.",CC(C)(CC(Br)CC(Cl)(Cl)Cl)C1OCCO1,CCOC(O)(C#N)COCOCCOCCOC(C)(O)OC(C)(Cl)CCO,True,False,0.5631,0.3661,0.5152,0.2948,0.4146,0.0923,0.4151,0.1617
"The molecule is a secondary carboxamide resulting from the formal condensation of the amino group of (1R,2R)-2-amino-1-(4-aminophenyl)propane-1,3-diol with the carboxy group of dichloroacetic acid. It is an intermediate used in the biosynthesis pathway of the antibiotic, chloramphenicol. It has a role as a prodrug. It is a secondary carboxamide, a diol, a substituted aniline and an organochlorine compound.",Nc1ccc([C@@H](O)[C@@H](CO)N=C(O)C(Cl)Cl)cc1,CC(CO)N(N=C=CN)c1cc(Cl)ccc1[C@H](C)N=C(O)c1ccc(Cl)cc1,True,False,0.6048,0.4716,0.5215,0.3943,0.4151,0.1884,0.5556,0.2528
The molecule is a beta-D-glucoside that is the 2-aminoethyl glycoside of a disaccharide consisting of beta-D-glucuronosyl and beta-D-glucosyl residues linked (1->4). It is a beta-D-glucoside and a disaccharide derivative.,NCCO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,NCCCC[C@H](N)C(=O)O[CH]O[C@H](O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)[C@@H](O)[CH]O,True,False,0.8223,0.7516,0.7268,0.6022,0.6275,0.2933,0.8696,0.5955
The molecule is an organic cation obtained by protonation of the secondary amino function of levobunolol. It is an ammonium ion derivative and an organic cation. It is a conjugate base of a levobunolol.,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2c1CCCC2=O,C[C@@H]1C(=O)OC(C)(C(=O)OC(C)(C)C)[NH+][C@H](c2ccccc2)[C@@H]1c1ccccc1,True,False,0.4886,0.3462,0.4728,0.3024,0.3043,0.1733,0.4355,0.307
"The molecule is a monocarboxylic acid that is oxoacetic acid substituted by a (ethoxymethyl)(2-ethyl-6-methylphenyl)amino group at position 2. It is a metabolite of acetochlor. It has a role as a marine xenobiotic metabolite. It is an aromatic amide, an ether and a monocarboxylic acid.",CCOCN(C(=O)C(=O)O)c1c(C)cccc1CC,CCCCC(C(=O)O)C1CC=C(C)C(C(C)C)=C1C(=N)O,True,False,0.4929,0.3165,0.4929,0.3165,0.4359,0.1515,0.3966,0.1733
"The molecule is a member of the class of benzimidazoles that is 1H-benzimidazole which is substituted at positons 2 and 5 by (methoxycarbonyl)amino and phenylsulfanediyl groups, respectively. A broad-spectrum anthelmintic, it is used, particularly in veterinary medicine, for the treatment of nematodal infections. It has a role as an antinematodal drug. It is a member of benzimidazoles, a carbamate ester and an aryl sulfide.",COC(O)=Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,COC=CC=C1C=CN=C(O)CSC(=NCNSCC(O)=Nc2ccccc2)NN1,True,False,0.3901,0.2964,0.3901,0.2964,0.2609,0.2,0.4342,0.1636
"The molecule is a sesquiterpene that is cedrane which has a double bond between positions 8 and 9. It has a role as a metabolite. It is a sesquiterpene, a bridged compound and a polycyclic olefin. It derives from a hydride of a cedrane.",CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,[CH]C12[CH]C3CC4C(C=C=C)[C@H]5CC[C](C)CC[C@H](C)C[C@]45CCC=C[C@@]3(C)C1C2,True,False,0.5057,0.322,0.3703,0.0,0.3973,0.2055,0.72,0.515
The molecule is an ortho- and peri-fused polycyclic arene consisting of five fused benzene rings. It is listed as a Group 3 carcinogen by the IARC. It has a role as a mutagen and a carcinogenic agent.,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,C=CC=CC=CC=CC=CC=C1C=c2ccc3ccccc3c2=CC1,True,False,0.3599,0.2614,0.3599,0.2614,0.3077,0.2326,0.5385,0.1032
"The molecule is a purine 2'-deoxyribonucleoside that is inosine in which the hydroxy group at position 2' is replaced by a hydrogen. It has a role as a Saccharomyces cerevisiae metabolite, a human metabolite, a plant metabolite, an Escherichia coli metabolite and a mouse metabolite. It is a purines 2'-deoxy-D-ribonucleoside and a purine 2'-deoxyribonucleoside. It derives from an inosine.",OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C[C@@H]1O,OC[C@H]1O[C@@H](OCn2c(O)nc3n[nH]cc32)[C@H](O)[C@@H]1O,True,False,0.7007,0.5868,0.7057,0.5032,0.6604,0.2424,0.6712,0.3978
The molecule is an ammonium ion resulting from the protonation of the tertiary amino group of ketotifen. It is a conjugate acid of a ketotifen.,C[NH+]1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,CC(C)OC(=O)c1ccccc1C(=O)C1c2cccc(c2)C(=O)N(CC(=O)c2ccccc2)C1C,True,False,0.4116,0.2443,0.4049,0.2423,0.4098,0.093,0.3857,0.4253
The molecule is a dipeptide consisting of beta-alanine and L-lysine units joined by a peptide linkage. It is a tautomer of a beta-alanyl-L-lysine zwitterion.,NCCCC[C@H](N=C(O)CCN)C(=O)O,CCN=C(O)[C@H](C[CH]CCN)NCCC(CCOC(=O)[C@H](CCCCN)N=C(O)CC(=N)O)C(=O)O,True,False,0.3849,0.323,0.3796,0.3107,0.3971,0.3088,0.7872,0.395
"The molecule is a tripeptide composed of L-aspartic acid, L-glutamine and L-arginine joined in sequence by peptide linkages. It has a role as a metabolite. It derives from a L-aspartic acid, a L-glutamine and a L-arginine.",N=C(O)CC[C@H](N=C(O)[C@@H](N)CC(=O)O)C(O)=N[C@@H](CCCNC(=N)N)C(=O)O,N=C(N)C[C@H](N)C(O)=N[C@@H](N)C(O)=N[C@@H](CC(O)=N[CH]CCC(=N)O)C(=O)O,True,False,0.8808,0.7482,0.8729,0.6977,0.6667,0.4194,0.7955,0.5578
"The molecule is the (R)-enantiomer of 2,6-dimethylheptyl sulfate. It has been isolated from Daphnia pulex. It is a conjugate base of a (2R)-2,6-dimethylheptyl hydrogen sulfate. It is an enantiomer of a (2S)-2,6-dimethylheptyl sulfate.",CC(C)CCC[C@@H](C)COS(=O)(=O)[O-],CC(C)CCC[C@@H](C)CCNS(=O)(=O)[O-],True,False,0.9227,0.8866,0.8972,0.8467,0.9394,0.5,0.6667,0.16
"The molecule is the L-enantiomer of threonic acid. It has a role as a plant metabolite, a Daphnia magna metabolite and an algal metabolite. It is a conjugate acid of a L-threonate. It is an enantiomer of a D-threonic acid.",O=C(O)[C@H](O)[C@@H](O)CO,O=C[C@@H](O)C(=O)O,True,False,0.576,0.4473,0.6228,0.3652,0.56,0.3043,0.5652,0.3883
"The molecule is an S-substituted glutathione that is glutathione in which the mercapto hydrogen has been replaced by a chloromethyl group. It has a role as an alkylating agent, a bacterial xenobiotic metabolite and a mouse metabolite. It is an organochlorine compound and a S-substituted glutathione. It is a conjugate acid of a S-(chloromethyl)glutathione(1-).",N[C@@H](CCC(O)=N[C@@H](CSCCl)C(O)=NCC(=O)O)C(=O)O,CSSC[C@@H](C=O)N=C(O)[C@H](CSS)N=C(O)CC[C@H](N)C(=O)O,True,False,0.7271,0.5027,0.6864,0.4021,0.5472,0.4333,0.7347,0.6949
