selfies,token_count,valid,smiles,canonical_smiles,logp,mw,heavy_atoms,rings,aromatic_rings,hbd,hba,rot_bonds,qed,lipinski,token_retention
[Cl][C][=C][C][=C][Branch2][Ring1][#C][C][C@@H1][Branch2][Ring1][Branch1][O][C][=Branch1][C][=O][N][C][Ring1][C@H1][Ring1][C][C][C][=C][C][=C][C][=C][Ring1][O][Cl][C][O][Ring1][Ring1][C][=C][Ring2][Ring1][O],43,True,ClC=CC=C(C[C@@H1](OC(=O)N=CCC=CC=CC=C)Cl)C=C,C=CC=CC=CCC=NC(=O)O[C@@H](Cl)CC(C=C)=CC=CCl,5.702,340.25,22,0,0,0,2,9,0.307,False,0.651
[C][C][=C][C][=C][C][Branch2][Ring1][#Branch2][C][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][N][C][C][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][C][C][/Br][C][C][=C][Ring2][Ring1][#Branch1],42,True,CC=CC=CC(C[C@H1](C)NC(=O)NCCC1=C(F)C=CC=C1C)C/Br,CC=CC=CC(CBr)C[C@H](C)NC(=O)NCCc1c(C)cccc1F,4.898,411.36,25,1,1,2,1,9,0.441,True,0.833
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C][O][C][=N][C][N][Branch2][Ring1][Branch2][C][=Branch1][C][=O][N][C@@H1][C][C][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][N][C][Ring2][Ring1][=Branch1],45,True,C1C(C)OC(=O)COC=NCN1C(=O)N2[C@@H1]CCN(C3=CC=CC=C3)C2C,CC1CN(C(=O)N2[CH]CCN(c3ccccc3)C2C)CN=COCC(=O)O1,2.076,373.43,27,3,1,0,6,1,0.705,True,0.956
[C][C][=C][C][=C][C][Branch2][Ring1][#C][C][C][C][C@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][N][N][#Branch2][C][=N][C][=C][N][=C][Ring1][=Branch1][C][C][Ring1][Ring2][=C][Ring2][Ring1][=Branch2],42,True,C1C=CC=CCCCC[C@H1](C)C(=O)NCCN2NC=CN=C2CC=C1,C[C@H]1CCCCC=CC=CCC=CCC2=NC=CNN2CCNC1=O,3.451,342.49,25,2,0,2,4,0,0.663,True,0.714
[C][O][C][=C][C][=C][Branch2][Ring1][#C][C][C][C][=Branch1][C][=O][C][N][C][=Branch1][C][=O][C@H1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][C][Branch1][Ring1][Ring2][C][=C][Ring2][Ring1][=Branch2],43,True,COC=CC=C(CCC(=O)CNC(=O)[C@H1]CCCC1=CC=CC=C1Br)C,COC=CC=C(C)CCC(=O)CNC(=O)[CH]CCCc1ccccc1Br,4.548,421.36,26,1,1,1,3,12,0.306,True,0.791
[C][C][=C][C][=C][Branch2][Ring1][#C][C][=N][C][Branch2][Ring1][Ring1][C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][NH1][C][=Ring2][S][C][#N][C][=C][Ring2][Ring1][#Branch1][O][C][C],45,True,C=1C2=CC=C(C=NC(CC(=O)NC3=CC=C(C)C=C3[NH1])C=1NC)C2OCC,CCOC1C2=CC=C1C=C(NC)C(CC(=O)Nc1ccc(C)cc1[NH])N=C2,3.066,365.46,27,3,1,2,4,6,0.812,True,0.956
[O][C][=C][C][=C][Branch2][Ring1][P][C@@H1][N][C][C][N][Branch2][Ring1][Ring2][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][Br][C][Ring1][=Branch2][C][C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch2],45,True,O1C=CC=C([C@@H1]2NCCN(CC(=O)NCC3=CC=CC=C3Br)CC2)C=C1,O=C(CN1CCN[C@@H](C2=CC=COC=C2)CC1)NCc1ccccc1Br,2.713,418.34,26,3,1,2,4,5,0.772,True,0.822
[C][C][C][=C][C][=C][Branch2][Ring1][#Branch2][N][C][=Branch1][C][=O][C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][Branch1][C][C][C][C][C][Ring1][N][C][=C][Ring2][Ring1][Branch1],41,True,C1CC=CC=C1NC(=O)CC(C)CCC(C)(C)CCCCC,CCCCCC(C)(C)CCC(C)CC(=O)NC1=CC=CCC1,5.749,305.51,22,1,0,1,1,10,0.512,False,0.78
[C][O][C][=C][C][=C][Branch2][Ring1][P][C][C][C][=Branch1][C][=O][N][N][C@@H1][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][Cl],44,True,COC=C1C=C(CCC(=O)NN[C@@H1](C2=CC=CC=C2)OOC3=CC=CC=C3C=C1)Cl,COC=C1C=Cc2ccccc2OO[C@H](c2ccccc2)NNC(=O)CCC(Cl)=C1,4.777,426.9,30,3,2,2,5,2,0.534,True,0.977
[C][C][=C][C][=C][Branch2][Ring2][Ring2][N][C][=Branch1][C][=O][C][C@H1][C][C][NH1+1][Branch2][Ring1][C][C][S][=Branch1][C][=O][N][C][=N][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][=Branch2][C][C][Ring1][S][C][=C][Ring2][Ring1][#Branch2],47,True,CC=C1C=C(NC(=O)C[C@H1]C2C[NH1+1](CS(=O)NC3=NC=CC=C3C)CC2C)C1,CC=C1C=C(NC(=O)C[CH]C2C[NH+](CS(=O)Nc3ncccc3C)CC2C)C1,1.518,402.56,28,3,1,3,3,8,0.617,True,0.936
[C][C][=C][C][=C][C][Branch2][Ring1][O][N][C][=Branch1][C][=O][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][NH1][Ring2][Ring1][#Branch1],40,True,CC1=CC=CC(NC(=O)C(=O)N(CCO)C2=CC=C(F)C=C2)=N[NH1]1,CC1=CC=CC(NC(=O)C(=O)N(CCO)c2ccc(F)cc2)=NN1,0.644,332.33,24,2,1,3,5,3,0.708,True,1.0
[C][C][C][C][=C][C][Branch2][Ring1][=C][N][C][C][=Branch1][C][=O][N][C][C][C][Branch1][#C][C][C][C][=Branch1][C][=O][C@@H1][C][C][C][C][Ring1][Branch1][C][C][Ring1][=C][=C][O][Ring2][Ring1][Branch2],43,True,CCCC1=CC(NCC(=O)NC2CC(CCC(=O)[C@@H1]3CCCC3C)C2)=CO1,CCCc1cc(NCC(=O)NC2CC(CCC(=O)[C@@H]3CCCC3C)C2)co1,4.324,374.53,27,3,1,2,4,10,0.64,True,1.0
[C][C][C][=C][C][=C][Branch2][Ring1][O][C][=Branch1][C][=O][N][C][C][C][C][Branch1][=N][N][C][=Branch1][C][=O][C][C][C][C][C][/NH2+1][=Branch1][C][C][Ring1][=C][C][=N][Ring2][Ring1][Branch2],41,True,CCC1=CC=C(C(=O)NCC2CC(NC(=O)CCCCC/[NH2+1])CC2)C=N1,CCc1ccc(C(=O)NCC2CCC(NC(=O)CCCCC[NH2+])C2)cn1,1.247,360.5,26,2,1,3,4,10,0.548,True,0.976
[C][C][=C][C][=C][Branch2][Ring1][=C][C][=N][C][Branch2][Ring1][C][Cl][C][=Branch1][C][=O][C][C@H1][C][C][C][C][C][C][C][O][C][C][Ring1][=Branch1][=N][Ring1][C][C][=C][Ring2][Ring1][#Branch1],41,True,C1C=C2C=C(C=NC2(Cl)NC)C1,CNC1(Cl)N=CC2=CC1=CCC2,1.829,182.65,12,2,0,1,2,1,0.486,True,0.439
[C][C][=C][C][=C][Ring2][Branch2][Ring1][#C][C][N][C][=Branch1][C][=O][Ring2][Branch1][C][C][C][N][Branch1][=Branch1][C][=Branch1][C][=O][C][C@@H1][C][C][C][C@@H1][Ring1][Branch1][O][C][Ring1][S][=O][S][Ring2][Ring1][#Branch2],44,True,C12C=CC=C1CCNC2=O,O=C1NCCC2=CC=CC12,0.619,135.17,10,2,0,1,1,0,0.518,True,0.318
[C][C][O][C][=C][C][=C][Branch2][Ring1][=N][C][=Branch1][C][=O][N][=C][C][C@H1][Ring1][N][C][C][=C][C][=N][N][=C][Ring1][=Branch1][\N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][Ring2][Ring1][Branch2],43,True,CC1OC=CC2=C(C(=O)N=CC[C@H1]1CC3=CC=NN=C3\NC4=CC=CC=C4)C=C2,CC1OC=CC2=C(C=C2)C(=O)N=CC[C@H]1Cc1ccnnc1Nc1ccccc1,4.165,386.46,29,4,2,1,5,4,0.854,True,0.953
[C][O][C][=C][C][=C][Branch2][Ring1][S][C][=Branch1][C][=O][N][C][C][S][C][C@H1][Ring1][=Branch1][O][C][=Branch1][C][=O][N][C@H1][C][N][Branch1][=Branch1][C][C][Ring1][Cl][N][C][Ring1][=Ring1][C][=C][Ring2][Ring1][#Branch2],45,True,COC=CC=C(C(=O)N1CCSC[C@H1]1OC(=O)N[C@H1]CN(C=CN2)C2)C=C,C=CC(=CC=COC)C(=O)N1CCSC[C@H]1OC(=O)N[CH]CN1C=CNC1,1.382,393.49,27,2,0,2,7,8,0.366,True,0.822
[C][#C][C][=C][C][=C][Branch2][Ring1][O][C][C@H1][C][C][N][Branch1][P][C][=Branch1][C][=O][C][C][C][C][=C][O][N][=Ring1][Branch1][C][=Branch2][C][Ring1][Branch2][Ring1][#C][C][=C][Ring2][Ring1][Branch2][O],42,True,C1#CC=C2C=C(C[C@H1]CCN2C(=O)CCC=3C=CON=3)CC=C1O,O=C(CCc1ccon1)N1CC[CH]CC2=CC1=CC#CC(O)=CC2,3.093,323.37,24,3,1,1,4,3,0.868,True,0.81
[C][O][C][=C][C][=C][Branch2][Ring2][C][C][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][S][N][C][=Branch1][C][=O][C@@H1][S][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2][C][Branch1][C][O][C][=C][Ring2][Ring1][#Branch2],48,True,COC=CC1=C(CNC(=O)C=CC=C(NC(=O)[C@@H1]2SC3=CC=CC=C3)C2CO)C=C1,COC=CC1=C(CNC(=O)C=CC=C2NC(=O)[C@H](Sc3ccccc3)C2CO)C=C1,2.468,424.52,30,3,1,3,5,9,0.419,True,0.958
[C][C][=C][C][=C][Branch2][Ring1][#C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][C][N][Branch1][=N][C][=Branch1][C][=O][C][=C][N][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N][C][=C][Ring2][Ring1][=Branch2],43,True,C1C=CC=C(C(=O)NC(=O)C2CN(C(=O)C3=CN=CC=C3)CC2)C=C1,O=C(NC(=O)C1CCN(C(=O)c2cccnc2)C1)C1=CC=CCC=C1,1.629,337.38,25,3,1,1,4,3,0.85,True,0.93
[C][C][=C][C][=C][C][Branch2][Ring1][O][C][C][=Branch1][C][=O][C@H1][Branch1][C][C][N][C][=Branch1][C][=O][C@H1][Branch1][C][C][#N][C][Ring1][C@H1][C][C][=Ring2][Ring1][C][=N][Ring2][Ring1][#Branch1],40,True,C1C=C2C=CC(CC(=O)[C@H1](C)NC(=O)[C@H1](C)N=CCC2)=N1,C[C@@H]1N=CCCC2=CCN=C(C=C2)CC(=O)[C@H](C)NC1=O,1.641,287.36,21,2,0,1,4,0,0.735,True,0.8
[C][#C][C][=C][C][=C][C][Branch2][Ring1][#C][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][Ring1][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][\O][C][C][Ring1][S][=O][=C][Ring2][Ring1][=Branch2],45,True,C#CC=CC=CC(C(=O)NC1CNC(=O)C2=CC=CC=C2NC\OCC1)=O,C#CC=CC=CC(=O)C(=O)NC1CCOCNc2ccccc2C(=O)NC1,1.006,367.41,27,2,1,3,5,4,0.319,True,0.822
[C][C][=C][C][=C][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=S][N][C][C][=Branch1][C][=O][N][C@@H1][Branch1][P][C][=Branch1][C][=O][N][C][C][NH1+1][=C][C][=C][C][=C][Ring1][=Branch1][C][=Ring1][P][C][#N][=C][Ring2][Ring1],47,True,C1C=CC=CC(NC(=S)NCC(=O)N[C@@H1]1C(=O)NCC[NH1+1]=CC=CC=CC)=NC,CC=CC=CC=[NH+]CCNC(=O)[C@@H]1CC=CC=CC(=NC)NC(=S)NCC(=O)N1,-1.12,417.56,29,1,0,5,4,6,0.163,True,0.83
[C][C][=C][C][=C][Branch2][Ring1][#C][C][=Branch1][C][=O][N][C][C][C@H1][Branch1][=N][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1][Cl][C][Branch1][=Branch1][C][#N][C][Ring1][S][C][=N][Ring2][Ring1][Branch2],43,True,C1C=CC=C(C(=O)NCC[C@H1](C2=CC=C(C)C=C2Cl)CC#N)C=N1,Cc1ccc([C@H](CC#N)CCNC(=O)C2=CC=CCN=C2)c(Cl)c1,3.719,341.84,24,2,1,1,3,6,0.857,True,0.884
[C][C][=C][C][=C][Branch2][Ring2][C][C][=Branch1][C][=O][N][C][C][C][N][Branch2][Ring1][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring2][P][=O][C][=C][Ring2][Ring1][O],46,True,C12C=CC=C(C(=O)NCCCN(CS(=O)(=O)C3=CC=CC=C3C)C1)C=C2,Cc1ccccc1S(=O)(=O)CN1CCCNC(=O)C2=CC=CC(C=C2)C1,2.217,372.49,26,3,1,1,4,3,0.883,True,0.87
[C][C][=C][C][=C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=O][C][S][C][=C][C][=C][Branch1][S][C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][Ring1][P][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][N],48,True,CC1=CC=C(NC(=O)C2SC=CC=C(CNC(=O)C3=CC=CC=N3)C2COC)C1,COCC1C(CNC(=O)c2ccccn2)=CC=CSC1C(=O)NC1=CC=C(C)C1,2.98,411.53,29,3,1,2,5,7,0.721,True,0.896
[C][C][=C][C][=C][Branch2][Ring1][#C][C][C][=Branch1][C][=O][N][C][NH1+1][C][=Ring1][P][C][C][C@H1][Branch1][N][C][=Branch1][C][=O][N][C][C][C][C][Ring1][Ring1][C][C][Ring1][S][C][=N][Ring2][Ring1][=Branch2][C],45,True,C=1C2=CC=C(CC(=O)N3C[NH1+1]C=1CC[C@H1](C(=O)NCC4CC4)CC3)C=N2,O=C(NCC1CC1)[C@H]1CCC2=Cc3ccc(cn3)CC(=O)N(CC1)C[NH+]2,0.44,354.45,26,5,1,2,4,3,0.827,True,0.933
[C][C][=C][C][=C][Branch2][Ring1][#C][C][=Branch1][C][=O][C@@H1][C][S][C][C@@H1][Ring1][Branch1][O][C][C@H1][C][=O][C][C][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring1][=Branch2],43,True,C1C=CC=C(C(=O)[C@@H1]2CSC[C@@H1]2OC[C@H1]C=O)C=C1,O=C[CH]CO[C@H]1CSC[C@H]1C(=O)C1=CC=CCC=C1,2.149,277.36,19,2,0,0,4,6,0.551,True,0.581
[C][C][=C][C][=C][Branch2][Ring1][=Branch2][C][N][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][F][O][C][Branch1][C][F][=C][Ring2][Ring1][Branch2],40,True,C1C=CC=C(CNC(=O)NC(=O)C2=CC=CC(C)=C2F)C(F)=C1,Cc1cccc(C(=O)NC(=O)NCC2=CC=CCC=C2F)c1F,3.313,318.32,23,2,1,2,2,3,0.898,True,0.875
[C][C][=C][C][=C][Branch2][Ring1][P][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=O][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][N][Ring1][O][C][N][=C][Ring2][Ring1][=Branch2],45,True,CC=CC1=C(C(=O)NC2=CC=C(F)C=C2OOC3=CC=CC=C3NNC)N=C1,CC=CC1=C(C(=O)Nc2ccc(F)cc2OOc2ccccc2NNC)N=C1,3.598,382.4,28,3,2,3,6,8,0.48,True,0.933
[C][C][=C][C][=C][Branch2][Ring1][=N][N][C][=Branch1][C][=O][N][C@@H1][C@H1][C][C][NH1+1][Branch1][P][C][C][=N][C][Branch1][C][C][O][N][=C][Ring1][N][Ring1][#Branch1][C][Ring1][S][C][=C][Ring2][Ring1][#Branch2],43,True,C1C=CC=C(NC(=O)N[C@@H1][C@H1]2CC[NH1+1]CC3=NC(C)ON=C23)SC=C1,CC1N=C2C[NH+]CC[C@H]([CH]NC(=O)NC3=CC=CCC=CS3)C2=NO1,1.038,360.46,25,3,0,3,6,3,0.702,True,0.884
[C][C][=C][C][=C][C][Branch2][Ring1][P][C][C@@H1][Branch1][C][C][C][=Branch1][C][=O][N][C][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][C][Ring1][=C][C][=C][Ring2][Ring1][Branch2],43,True,CC=CC1=CCC[C@@H1](C)C(=O)N2CCCN(CC3=CC=CC=N3)CC2C=C1,CC=CC1=CCC[C@@H](C)C(=O)N2CCCN(Cc3ccccn3)CC2C=C1,3.973,365.52,27,3,1,0,3,3,0.813,True,0.93
[C][C][=C][NH1+1][=C][C][Branch2][Ring2][Ring1][N][C][=Branch1][C][=O][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][C][C][Ring1][P][=O][=C][Ring2][Ring1][#Branch2],47,True,C1C=C[NH1+1]=CC(NC(=O)CCN(C(=O)C2=CC=C(Cl)C(Cl)=C2)CC=O)=C1,O=CCN(CCC(=O)NC1=CCC=C[NH+]=C1)C(=O)c1ccc(Cl)c(Cl)c1,1.094,395.27,26,2,1,2,3,7,0.679,True,0.851
